RegionName,StateFIPS,CountyFIPS,CountyRegionID_Zillow,MetroRegionID_Zillow,FIPS
Pennsylvania,42,103,280,394913,42103
NewYork,36,5,401,394913,36005
NewJersey,34,13,504,394913,34013
NewYork,36,47,581,394913,36047
NewJersey,34,29,659,394913,34029
NewJersey,34,39,771,394913,34039
NewJersey,34,3,874,394913,34003
NewJersey,34,17,1106,394913,34017
NewJersey,34,27,1241,394913,34027
NewYork,36,59,1252,394913,36059
NewYork,36,71,1290,394913,36071
NewYork,36,79,1343,394913,36079
NewYork,36,81,1347,394913,36081
NewJersey,34,37,1413,394913,34037
NewJersey,34,31,1964,394913,34031
NewYork,36,103,2046,394913,36103
NewYork,36,27,2255,394913,36027
NewJersey,34,25,2441,394913,34025
NewYork,36,61,2452,394913,36061
NewYork,36,85,2511,394913,36085
NewYork,36,87,2515,394913,36087
NewJersey,34,35,2552,394913,34035
NewJersey,34,19,2729,394913,34019
NewJersey,34,23,2802,394913,34023
NewYork,36,119,3148,394913,36119
California,6,37,3101,753899,6037
California,6,59,1286,753899,6059
Indiana,18,127,1330,394463,18127
Illinois,17,37,1657,394463,17037
Illinois,17,43,1682,394463,17043
Illinois,17,93,1835,394463,17093
Wisconsin,55,59,1837,394463,55059
Illinois,17,111,1922,394463,17111
Indiana,18,111,1264,394463,18111
Indiana,18,73,1117,394463,18073
Illinois,17,63,1068,394463,17063
Illinois,17,97,220,394463,17097
Indiana,18,89,221,394463,18089
Illinois,17,197,330,394463,17197
Illinois,17,31,139,394463,17031
Illinois,17,89,197,394463,17089
Texas,48,221,184,394514,48221
Texas,48,231,185,394514,48231
Texas,48,497,333,394514,48497
Texas,48,139,498,394514,48139
Texas,48,113,978,394514,48113
Texas,48,121,988,394514,48121
Texas,48,85,951,394514,48085
Texas,48,439,2049,394514,48439
Texas,48,251,1827,394514,48251
Texas,48,257,1833,394514,48257
Texas,48,367,1308,394514,48367
Texas,48,425,2848,394514,48425
Texas,48,397,2516,394514,48397
NewJersey,34,5,2896,394974,34005
NewJersey,34,15,2929,394974,34015
Pennsylvania,42,91,2981,394974,42091
Delaware,10,3,2986,394974,10003
Pennsylvania,42,101,3175,394974,42101
Pennsylvania,42,29,1611,394974,42029
Pennsylvania,42,45,2251,394974,42045
NewJersey,34,7,911,394974,34007
NewJersey,34,33,702,394974,34033
Pennsylvania,42,17,414,394974,42017
Maryland,24,15,429,394974,24015
Texas,48,15,844,394692,48015
Texas,48,201,1090,394692,48201
Texas,48,39,2151,394692,48039
Texas,48,71,2182,394692,48071
Texas,48,291,1861,394692,48291
Texas,48,473,1467,394692,48473
Texas,48,339,2983,394692,48339
Texas,48,157,2698,394692,48157
Texas,48,167,2702,394692,48167
Maryland,24,21,2699,395209,24021
WestVirginia,54,37,2757,395209,54037
Virginia,51,179,2556,395209,51179
Virginia,51,13,2619,395209,51013
Maryland,24,31,2975,395209,24031
Virginia,51,157,3183,395209,51157
Virginia,51,177,3193,395209,51177
Virginia,51,683,3213,395209,51683
Maryland,24,33,3246,395209,24033
Virginia,51,153,3247,395209,51153
Virginia,51,600,3162,395209,51600
Virginia,51,510,3253,395209,51510
Virginia,51,610,3272,395209,51610
Virginia,51,685,3282,395209,51685
Virginia,51,630,3283,395209,51630
DistrictofColumbia,11,1,3289,395209,11001
Virginia,51,187,1483,395209,51187
Virginia,51,107,1887,395209,51107
Maryland,24,17,1607,395209,24017
Maryland,24,9,1581,395209,24009
Virginia,51,59,1694,395209,51059
Virginia,51,61,2261,395209,51061
Virginia,51,47,2240,395209,51047
Virginia,51,43,943,395209,51043
Florida,12,11,1561,394856,12011
Florida,12,99,2993,394856,12099
Florida,12,86,2964,394856,12086
Georgia,13,199,2963,394347,13199
Georgia,13,255,2554,394347,13255
Georgia,13,247,2514,394347,13247
Georgia,13,297,1469,394347,13297
Georgia,13,97,1671,394347,13097
Georgia,13,113,1697,394347,13113
Georgia,13,117,1711,394347,13117
Georgia,13,45,1590,394347,13045
Georgia,13,63,1622,394347,13063
Georgia,13,135,2314,394347,13135
Georgia,13,143,2326,394347,13143
Georgia,13,223,2470,394347,13223
Georgia,13,57,2188,394347,13057
Georgia,13,227,1971,394347,13227
Georgia,13,77,960,394347,13077
Georgia,13,13,852,394347,13013
Georgia,13,15,855,394347,13015
Georgia,13,159,1114,394347,13159
Georgia,13,85,979,394347,13085
Georgia,13,89,984,394347,13089
Georgia,13,121,1020,394347,13121
Georgia,13,217,1263,394347,13217
Georgia,13,211,1231,394347,13211
Georgia,13,35,421,394347,13035
Georgia,13,171,588,394347,13171
Georgia,13,149,551,394347,13149
Georgia,13,151,553,394347,13151
Georgia,13,231,273,394347,13231
Georgia,13,67,135,394347,13067
Massachusetts,25,9,503,394404,25009
Massachusetts,25,21,1948,394404,25021
Massachusetts,25,25,2045,394404,25025
Massachusetts,25,23,2482,394404,25023
NewHampshire,33,15,3013,394404,33015
NewHampshire,33,17,2851,394404,33017
Massachusetts,25,17,2801,394404,25017
California,6,81,2842,395057,6081
California,6,13,3159,395057,6013
California,6,75,3227,395057,6075
California,6,1,1510,395057,6001
California,6,41,625,395057,6041
Michigan,26,87,1142,394532,26087
Michigan,26,99,1155,394532,26099
Michigan,26,163,791,394532,26163
Michigan,26,125,1950,394532,26125
Michigan,26,147,3123,394532,26147
Michigan,26,93,2959,394532,26093
California,6,65,2832,395025,6065
California,6,71,3250,395025,6071
Arizona,4,13,2402,394976,4013
Arizona,4,21,685,394976,4021
Washington,53,33,207,395078,53033
Washington,53,53,1322,395078,53053
Washington,53,61,2847,395078,53061
Minnesota,27,141,2846,394865,27141
Minnesota,27,95,2965,394865,27095
Minnesota,27,163,3061,394865,27163
Wisconsin,55,109,3126,394865,55109
Wisconsin,55,93,1323,394865,55093
Minnesota,27,123,1349,394865,27123
Minnesota,27,143,1390,394865,27143
Minnesota,27,171,1500,394865,27171
Minnesota,27,25,1615,394865,27025
Minnesota,27,79,2389,394865,27079
Minnesota,27,53,2339,394865,27053
Minnesota,27,3,373,394865,27003
Minnesota,27,139,711,394865,27139
Minnesota,27,37,971,394865,27037
Minnesota,27,19,924,394865,27019
Minnesota,27,59,1111,394865,27059
California,6,73,2841,395056,6073
Missouri,29,99,2744,395121,29099
Missouri,29,189,3130,395121,29189
Illinois,17,163,3122,395121,17163
Missouri,29,183,3223,395121,29183
Missouri,29,510,3269,395121,29510
Illinois,17,83,1124,395121,17083
Illinois,17,133,1217,395121,17133
Illinois,17,5,102,395121,17005
Illinois,17,117,2396,395121,17117
Missouri,29,71,2283,395121,29071
Illinois,17,119,1900,395121,17119
Illinois,17,27,1625,395121,17027
Missouri,29,113,1872,395121,29113
Illinois,17,13,1574,395121,17013
Missouri,29,219,1475,395121,29219
Florida,12,53,2341,395148,12053
Florida,12,101,669,395148,12101
Florida,12,57,3165,395148,12057
Florida,12,103,2480,395148,12103
Maryland,24,5,2626,394358,24005
Maryland,24,3,3152,394358,24003
Maryland,24,35,3118,394358,24035
Maryland,24,510,3236,394358,24510
Maryland,24,27,1101,394358,24027
Maryland,24,25,1761,394358,24025
Maryland,24,13,1595,394358,24013
Colorado,8,35,1670,394530,8035
Colorado,8,5,2127,394530,8005
Colorado,8,39,1001,394530,8039
Colorado,8,47,1041,394530,8047
Colorado,8,31,989,394530,8031
Colorado,8,93,268,394530,8093
Colorado,8,1,353,394530,8001
Colorado,8,19,3091,394530,8019
Colorado,8,59,2734,394530,8059
Colorado,8,14,2894,394530,8014
Pennsylvania,42,125,3070,394982,42125
Pennsylvania,42,5,2620,394982,42005
Pennsylvania,42,3,2614,394982,42003
Pennsylvania,42,129,3200,394982,42129
Pennsylvania,42,19,905,394982,42019
Pennsylvania,42,7,860,394982,42007
Pennsylvania,42,51,1703,394982,42051
Oregon,41,71,2110,394998,41071
Oregon,41,9,2215,394998,41009
Washington,53,11,448,394998,53011
Washington,53,59,2549,394998,53059
Oregon,41,5,2661,394998,41005
Oregon,41,67,3069,394998,41067
Oregon,41,51,2810,394998,41051
SouthCarolina,45,57,2777,394458,45057
NorthCarolina,37,119,3102,394458,37119
SouthCarolina,45,91,344,394458,45091
NorthCarolina,37,159,701,394458,37159
NorthCarolina,37,179,770,394458,37179
NorthCarolina,37,71,1032,394458,37071
NorthCarolina,37,25,2159,394458,37025
SouthCarolina,45,23,1612,394458,45023
NorthCarolina,37,97,1789,394458,37097
NorthCarolina,37,109,1875,394458,37109
California,6,61,1325,395045,6061
California,6,113,340,395045,6113
California,6,17,2691,395045,6017
California,6,67,3017,395045,6067
Texas,48,187,2712,395055,48187
Texas,48,91,454,395055,48091
Texas,48,29,386,395055,48029
Texas,48,325,1192,395055,48325
Texas,48,493,1497,395055,48493
Texas,48,19,1529,395055,48019
Texas,48,259,1836,395055,48259
Texas,48,13,2129,395055,48013
Florida,12,97,1957,394943,12097
Florida,12,95,1287,394943,12095
Florida,12,69,219,394943,12069
Florida,12,117,2538,394943,12117
Kentucky,21,191,2822,394466,21191
Indiana,18,115,260,394466,18115
Kentucky,21,15,394,394466,21015
Ohio,39,15,407,394466,39015
Kentucky,21,81,533,394466,21081
Kentucky,21,117,1133,394466,21117
Indiana,18,161,766,394466,18161
Ohio,39,17,904,394466,39017
Kentucky,21,23,1552,394466,21023
Ohio,39,165,1480,394466,39165
Kentucky,21,37,2168,394466,21037
Ohio,39,25,2206,394466,39025
Indiana,18,29,2244,394466,18029
Kentucky,21,77,2298,394466,21077
Ohio,39,61,2322,394466,39061
Ohio,39,35,2241,394475,39035
Ohio,39,93,1150,394475,39093
Ohio,39,103,1191,394475,39103
Ohio,39,55,1033,394475,39055
Ohio,39,85,225,394475,39085
Kansas,20,107,236,394735,20107
Missouri,29,177,91,394735,29177
Missouri,29,47,126,394735,29047
Missouri,29,37,112,394735,29037
Kansas,20,121,640,394735,20121
Missouri,29,13,384,394735,29013
Missouri,29,25,2162,394735,29025
Missouri,29,165,1326,394735,29165
Kansas,20,91,1822,394735,20091
Missouri,29,95,1804,394735,29095
Missouri,29,49,1629,394735,29049
Kansas,20,209,2881,394735,20209
Missouri,29,107,2771,394735,29107
Kansas,20,103,3100,394735,20103
Nevada,32,3,445,394775,32003
Ohio,39,117,1243,394492,39117
Ohio,39,159,773,394492,39159
Ohio,39,127,681,394492,39127
Ohio,39,73,1777,394492,39073
Ohio,39,89,1862,394492,39089
Ohio,39,97,1910,394492,39097
Ohio,39,41,2249,394492,39041
Ohio,39,49,2288,394492,39049
Ohio,39,129,2479,394492,39129
Ohio,39,45,2695,394492,39045
Indiana,18,63,2722,394705,18063
Indiana,18,57,2318,394705,18057
Indiana,18,95,1901,394705,18095
Indiana,18,81,1821,394705,18081
Indiana,18,59,1751,394705,18059
Indiana,18,133,1341,394705,18133
Indiana,18,145,1384,394705,18145
Indiana,18,109,1233,394705,18109
Indiana,18,97,1165,394705,18097
Indiana,18,13,403,394705,18013
Indiana,18,11,393,394705,18011
California,6,69,3020,395059,6069
California,6,85,3136,395059,6085
Texas,48,491,3081,394355,48491
Texas,48,209,178,394355,48209
Texas,48,453,1440,394355,48453
Texas,48,21,1533,394355,48021
Texas,48,55,2164,394355,48055
Virginia,51,115,1919,395194,51115
Virginia,51,199,345,395194,51199
NorthCarolina,37,73,520,395194,37073
Virginia,51,95,2942,395194,51095
Virginia,51,73,2930,395194,51073
NorthCarolina,37,53,2677,395194,37053
Virginia,51,800,3194,395194,51800
Virginia,51,710,3173,395194,51710
Virginia,51,650,3164,395194,51650
Virginia,51,735,3215,395194,51735
Virginia,51,93,3210,395194,51093
Virginia,51,740,3260,395194,51740
Virginia,51,550,3254,395194,51550
Virginia,51,810,3286,395194,51810
Virginia,51,700,3278,395194,51700
Virginia,51,830,3279,395194,51830
Tennessee,47,147,2834,394902,47147
Tennessee,47,169,2856,394902,47169
Tennessee,47,187,3080,394902,47187
Tennessee,47,149,3016,394902,47149
Tennessee,47,119,632,394902,47119
Tennessee,47,111,623,394902,47111
Tennessee,47,159,724,394902,47159
Tennessee,47,15,912,394902,47015
Tennessee,47,21,2185,394902,47021
Tennessee,47,37,2243,394902,47037
Tennessee,47,189,1496,394902,47189
Tennessee,47,165,1407,394902,47165
Tennessee,47,81,1773,394902,47081
Tennessee,47,43,1668,394902,47043
Massachusetts,25,5,1558,395005,25005
RhodeIsland,44,1,1559,395005,44001
RhodeIsland,44,5,1945,395005,44005
RhodeIsland,44,3,202,395005,44003
RhodeIsland,44,9,3071,395005,44009
RhodeIsland,44,7,3001,395005,44007
Wisconsin,55,131,3077,394862,55131
Wisconsin,55,79,2804,394862,55079
Wisconsin,55,133,2596,394862,55133
Wisconsin,55,89,1961,394862,55089
Florida,12,19,118,394714,12019
Florida,12,3,378,394714,12003
Florida,12,31,489,394714,12031
Florida,12,89,1251,394714,12089
Florida,12,109,3128,394714,12109
Arkansas,5,35,2907,394849,5035
Mississippi,28,33,983,394849,28033
Mississippi,28,9,869,394849,28009
Mississippi,28,137,317,394849,28137
Mississippi,28,93,2412,394849,28093
Mississippi,28,143,1443,394849,28143
Tennessee,47,167,1435,394849,47167
Tennessee,47,157,1388,394849,47157
Tennessee,47,47,1704,394849,47047
Oklahoma,40,81,1879,394935,40081
Oklahoma,40,109,2463,394935,40109
Oklahoma,40,87,1921,394935,40087
Oklahoma,40,17,2173,394935,40017
Oklahoma,40,83,612,394935,40083
Oklahoma,40,51,527,394935,40051
Oklahoma,40,27,2668,394935,40027
Kentucky,21,111,2742,394807,21111
Indiana,18,175,3055,394807,18175
Kentucky,21,103,557,394807,21103
Indiana,18,43,514,394807,18043
Indiana,18,19,441,394807,18019
Indiana,18,143,708,394807,18143
Kentucky,21,223,2055,394807,21223
Kentucky,21,215,2032,394807,21215
Indiana,18,61,2330,394807,18061
Kentucky,21,211,1385,394807,21211
Kentucky,21,185,1279,394807,21185
Kentucky,21,29,1565,394807,21029
Connecticut,9,3,2337,394669,9003
Connecticut,9,13,2054,394669,9013
Connecticut,9,7,2800,394669,9007
Virginia,51,53,2684,395022,51053
Virginia,51,75,2707,395022,51075
Virginia,51,36,3156,395022,51036
Virginia,51,41,3158,395022,51041
Virginia,51,670,3209,395022,51670
Virginia,51,149,3218,395022,51149
Virginia,51,760,3219,395022,51760
Virginia,51,101,3170,395022,51101
Virginia,51,730,3259,395022,51730
Virginia,51,570,3291,395022,51570
Virginia,51,33,2178,395022,51033
Virginia,51,145,2486,395022,51145
Virginia,51,127,2451,395022,51127
Virginia,51,183,1414,395022,51183
Virginia,51,87,1771,395022,51087
Virginia,51,85,1758,395022,51085
Virginia,51,7,830,395022,51007
Louisiana,22,71,1953,394910,22071
Louisiana,22,95,3285,394910,22095
Louisiana,22,87,3221,394910,22087
Louisiana,22,89,3222,394910,22089
Louisiana,22,103,3225,394910,22103
Louisiana,22,93,3127,394910,22093
Louisiana,22,75,3117,394910,22075
Louisiana,22,51,2743,394910,22051
NewYork,36,63,1946,394425,36063
NewYork,36,29,157,394425,36029
NorthCarolina,37,183,324,395012,37183
NorthCarolina,37,101,2360,395012,37101
NorthCarolina,37,69,2285,395012,37069
Alabama,1,21,1614,394388,1021
Alabama,1,117,1381,394388,1117
Alabama,1,127,1464,394388,1127
Alabama,1,7,100,394388,1007
Alabama,1,9,883,394388,1009
Alabama,1,73,2732,394388,1073
Alabama,1,115,3121,394388,1115
Utah,49,35,2840,395053,49035
Utah,49,45,1436,395053,49045
NewYork,36,69,1952,395031,36069
NewYork,36,73,1954,395031,36073
NewYork,36,117,796,395031,36117
NewYork,36,123,816,395031,36123
NewYork,36,55,1223,395031,36055
NewYork,36,51,2961,395031,36051
Michigan,26,81,201,394640,26081
Michigan,26,15,382,394640,26015
Michigan,26,117,2443,394640,26117
Michigan,26,139,1300,394640,26139
Arizona,4,19,281,395167,4019
Hawaii,15,3,2347,753924,15003
Oklahoma,40,111,2464,395169,40111
Oklahoma,40,145,2065,395169,40145
Oklahoma,40,117,1312,395169,40117
Oklahoma,40,131,1358,395169,40131
Oklahoma,40,37,460,395169,40037
Oklahoma,40,113,662,395169,40113
Oklahoma,40,143,757,395169,40143
California,6,19,1018,394619,6019
Connecticut,9,15,2097,395238,9015
Massachusetts,25,27,2879,395238,25027
Connecticut,9,1,2694,394415,9001
NewMexico,35,61,2586,394312,35061
NewMexico,35,57,2579,394312,35057
NewMexico,35,43,2524,394312,35043
NewMexico,35,1,2889,394312,35001
